Berny-Rivière;BERNY RIVIERE;2290
Berrieux;BERRIEUX;2820
Berry-au-Bac;BERRY AU BAC;2190
Bertaucourt-Épourdon;BERTAUCOURT EPOURDON;2800
Berthenicourt;BERTHENICOURT;2240
Bertricourt;BERTRICOURT;2190
Berzy-le-Sec;BERZY LE SEC;2200
Besmé;BESME;2300
Besmont;BESMONT;2500
Besny-et-Loizy;BESNY ET LOIZY;2870
Béthancourt-en-Vaux;BETHANCOURT EN VAUX;2300
Beugneux;BEUGNEUX;2210
Beuvardes;BEUVARDES;2130
Bézu-le-Guéry;BEZU LE GUERY;2310
Bézu-Saint-Germain;BEZU SAINT GERMAIN;2400
Bichancourt;BICHANCOURT;2300
Bieuxy;BIEUXY;2290
Bièvres;BIEVRES;2860
Billy-sur-Aisne;BILLY SUR AISNE;2200
Billy-sur-Ourcq;BILLY SUR OURCQ;2210
Blanzy-lès-Fismes;BLANZY LES FISMES;2160
Blérancourt;BLERANCOURT;2300
Blesmes;BLESMES;2400
Bohain-en-Vermandois;BOHAIN EN VERMANDOIS;2110
Bois-lès-Pargny;BOIS LES PARGNY;2270
Boncourt;BONCOURT;2350
Bonneil;BONNEIL;2400
Bonnesvalyn;BONNESVALYN;2400
Bony;BONY;2420
Bosmont-sur-Serre;BOSMONT SUR SERRE;2250
Boué;BOUE;2450
Bouffignereux;BOUFFIGNEREUX;2160
Bouresches;BOURESCHES;2400
Bourg-et-Comin;BOURG ET COMIN;2160
Bourguignon-sous-Coucy;BOURGUIGNON SOUS COUCY;2300
La Bouteille;LA BOUTEILLE;2140
Braine;BRAINE;2220
Brancourt-en-Laonnois;BRANCOURT EN LAONNOIS;2320
Brancourt-le-Grand;BRANCOURT LE GRAND;2110
Branges;BRANGES;2130
Brasles;BRASLES;2400
Braye-en-Laonnois;BRAYE EN LAONNOIS;2000
Braye-en-Thiérache;BRAYE EN THIERACHE;2140
Bray-Saint-Christophe;BRAY SAINT CHRISTOPHE;2480
Braye;BRAYE;2880
Brécy;BRECY;2210
Brenelle;BRENELLE;2220
Brény;BRENY;2210
Brissay-Choigny;BRISSAY CHOIGNY;2240
Brumetz;BRUMETZ;2810
Brunehamel;BRUNEHAMEL;2360
Bruyères-sur-Fère;BRUYERES SUR FERE;2130
Bruyères-et-Montbérault;BRUYERES ET MONTBERAULT;2860
Bruys;BRUYS;2220
Bucilly;BUCILLY;2500
Bucy-le-Long;BUCY LE LONG;2880
Bucy-lès-Cerny;BUCY LES CERNY;2870
Bucy-lès-Pierrepont;BUCY LES PIERREPONT;2350
Buire;BUIRE;2500
Buironfosse;BUIRONFOSSE;2620
Burelles;BURELLES;2140
Bussiares;BUSSIARES;2810
Buzancy;BUZANCY;2200
Caillouël-Crépigny;CAILLOUEL CREPIGNY;2300
Castres;CASTRES;2680
Le Catelet;LE CATELET;2420
Caulaincourt;CAULAINCOURT;2490
Caumont;CAUMONT;2300
Celles-lès-Condé;CELLES LES CONDE;2330
Celles-sur-Aisne;CELLES SUR AISNE;2370
Cerizy;CERIZY;2240
Cerny-en-Laonnois;CERNY EN LAONNOIS;2860
Cerny-lès-Bucy;CERNY LES BUCY;2870
Cerseuil;CERSEUIL;2220
Cessières;CESSIERES;2320
Chacrise;CHACRISE;2200
Chaillevois;CHAILLEVOIS;2000
Chalandry;CHALANDRY;2270
Chambry;CHAMBRY;2000
Chamouille;CHAMOUILLE;2860
Champs;CHAMPS;2670
Chaourse;CHAOURSE;2340
La Chapelle-Monthodon;LA CHAPELLE MONTHODON;2330
La Chapelle-sur-Chézy;LA CHAPELLE SUR CHEZY;2570
Le Charmel;LE CHARMEL;2850
Charmes;CHARMES;2800
Chartèves;CHARTEVES;2400
Chassemy;CHASSEMY;2370
Château-Thierry;CHATEAU THIERRY;2400
Châtillon-lès-Sons;CHATILLON LES SONS;2270
Châtillon-sur-Oise;CHATILLON SUR OISE;2240
Chaudardes;CHAUDARDES;2160
Chaudun;CHAUDUN;2200
Chauny;CHAUNY;2300
Chavignon;CHAVIGNON;2000
Chavigny;CHAVIGNY;2880
Chavonne;CHAVONNE;2370
Chéret;CHERET;2860
Chermizy-Ailles;CHERMIZY AILLES;2860
Chéry-Chartreuve;CHERY CHARTREUVE;2220
Chéry-lès-Pouilly;CHERY LES POUILLY;2000
Chéry-lès-Rozoy;CHERY LES ROZOY;2360
Chevennes;CHEVENNES;2250
Chevregny;CHEVREGNY;2000
Chevresis-Monceau;CHEVRESIS MONCEAU;2270
Chézy-en-Orxois;CHEZY EN ORXOIS;2810
Chézy-sur-Marne;CHEZY SUR MARNE;2570
Chierry;CHIERRY;2400
Chigny;CHIGNY;2120
